Stakeholder,ID,Name,Belongs to BP,Country,Topic,Nominated Provider
Facility,25879550,Knittex Garments Unit 1,30000009 (Knittex Garments),Pakistan,Freely Chosen Employment,Vectra
Facility,79784148,Nova leathers Pvt Ltd,10021764 (Nova Leathers (PVT) Ltd.),Pakistan,Freely Chosen Employment,Vectra
Facility,86670079,Knittex Garments Unit 2,30000009 (Knittex Garments),Pakistan,Freely Chosen Employment,Vectra
Facility,90305684,Firhaj Footwear (Pvt) Ltd,10078777 (Firhaj Footwear (PVT) Limited),Pakistan,Freely Chosen Employment,Vectra
Facility,90305846,Rajby Industries (Unit 6),10078491 (Rajby Industries),Pakistan,Freely Chosen Employment,Vectra
Facility,93393549,Rajby Industries (Unit 4),10078491 (Rajby Industries),Pakistan,Freely Chosen Employment,Vectra
Facility,81606048,HOME D'LUXE (INHOMDLU41NOI),65030413 (HOME D'LUXE),India,Freely Chosen Employment,Vectra
Facility,81606240,AKBAR CORPORATION LTD. (INAKBCORMOR),65030254 (AKBAR CORPORATION LIMITED),India,Freely Chosen Employment,Vectra
Facility,81606416,R.M.C. COLLECTIONS (INRMCCOL144BHA),65030248 (R.M.C. COLLECTIONS),India,Freely Chosen Employment,Vectra
Facility,81606786,AKANKSHA INTERNATIONAL (INAKAINTMOR),65030083 (AKANKSHA),India,Freely Chosen Employment,Vectra
Facility,81606866,CONTEMPORARY FURNITURES PRIVATE LIMITED (INCONFUR2621JOD),65030332 (CONTEMPORARY FURNITURES PVT.),India,Freely Chosen Employment,Vectra
Facility,81607749,BRASSEX INDIA (INBRAIND219MOR),65030705 (BRASSEX INDIA),India,Freely Chosen Employment,Vectra
Facility,81608896,ART PALACE (INARTPALBHA),65030250 (ART PALACE EXPORT PVT. LTD.),India,Freely Chosen Employment,Vectra
Facility,81609619,SRI NATH JI EXPORT (INSRINATMOR),65030291 (SRI NATH JI EXPORT),India,Freely Chosen Employment,Vectra
Facility,81610265,MALHOTRA HANDICRAFT (INMALHANMOR),65030118 (MALHOTRA HANDICRAFTS),India,Freely Chosen Employment,Vectra
Facility,81610539,RARE OBJECTS INDIA (INRAROBJMOR),65030316 (RARE OBJECTS INDIA),India,Freely Chosen Employment,Vectra
Facility,81610912,SAM INTERNATIONAL (INSAMINTMOR),65030205 (SAM INTERNATIONAL),India,Freely Chosen Employment,Vectra
Facility,82022155,Hafiz Exports (INHAFEXP50NOI),65030072 (HAFIZ EXPORTS),India,Freely Chosen Employment,Vectra
Facility,88104496,RAGA DESIGNS (INRAGDES350GUR),65030084 (RAGA DESIGNS),India,Freely Chosen Employment,Vectra
Facility,88104800,SUMITRA WOODCRAFT PVT. LTD. (INSUMWOO24GHA),65030812 (SUMITRA WOODCRAFT PVT LTD),India,Freely Chosen Employment,Vectra
Facility,89920274,SETHIA HANDICRAFTS PVT. LTD (INSETHAN6566JOD),65030306 (SETHIA HANDICRAFTS PVT. LTD),India,Freely Chosen Employment,Vectra
Facility,89920405,DESIGN UP LIVING LLP (INDESUP443AGR),65030239 (DESIGN UP LIVING LLP),India,Freely Chosen Employment,Vectra
Business Partner,20010395,Adam Exports,20010395 (Adam Exports),India,Freely Chosen Employment,Vectra
Facility,86028752,Fashion Makers Group (028515),20022165 (Fashion Makers Group),India,Freely Chosen Employment,Vectra
Facility,94852627,S.N.Q.S. INTERNATIONALS PRIVATE LTD. (100430),10072039 (S.N.Q.S. Intern.  Private Limited),India,Freely Chosen Employment,Vectra
Business Partner,10020944,Ess & Bee International,10020944 (Ess & Bee International),India,Freely Chosen Employment,Vectra
Business Partner,20010395,Adam Exports,20010395 (Adam Exports),India,Freely Chosen Employment,Vectra
Facility,25791279,Zaber & Zubair fabric ltd (007525),20033502 (Zaber & Zubair Fabrics Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,25793782,Noman Terry Towel Mills Ltd. (021830),10027583 (Noman Terry Towel Mills Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,26237507,SALMAN-ADNAN(PVT.)LTD (007520),20009922 (AZIM & SON (PVT) LTD),Bangladesh,Freely Chosen Employment,Vectra
Facility,86028752,Fashion Makers Group (028515),20022165 (Fashion Makers Group),India,Freely Chosen Employment,Vectra
Business Partner,20010395,Adam Exports,20010395 (Adam Exports),India,Freely Chosen Employment,Vectra
Business Partner,20012065,Mantra Exports PVT LTD.,20012065 (Mantra Exports PVT LTD.),India,Freely Chosen Employment,Vectra
Facility,25788695,Ashwath Inc. (INHOUSE) (000279),20026224 (Ashwath Inc.),India,Freely Chosen Employment,Vectra
Facility,25793782,Noman Terry Towel Mills Ltd. (021830),10027583 (Noman Terry Towel Mills Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,25873905,FASHION KNIT INDUSTRIES Unit 1,10017548 (Fashion Knit Industries),Pakistan,Freely Chosen Employment,Vectra
Facility,25873945,Chottani Industries,20032993 (Chottani Industries),Pakistan,Freely Chosen Employment,Vectra
Facility,25878074,MUSTAQIM DYEING & PRINTING MILL (PVT) LTD,20001261 (Mustaqim Dyeing & Printing Ind. Pvt),Pakistan,Freely Chosen Employment,Vectra
Facility,25884156,ISLAM KNIT DESIGNS LTD (007483),10025442 (Islam Knit Designs Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,26237507,SALMAN-ADNAN(PVT.)LTD (007520),10077153 (Azim & Son (PVT.) Ltd. Unit-2),Bangladesh,Freely Chosen Employment,Vectra
Facility,71047962,Danavarshini Exports (P) Ltd. (027492),20028899 (Danavarshini Exports (P) Ltd.),India,Freely Chosen Employment,Vectra
Facility,71195768,Khas socks & knitwear limited,10056506 (Khas Socks & Knitwear),Pakistan,Freely Chosen Employment,Vectra
Facility,86028752,Fashion Makers Group (028515),20022165 (Fashion Makers Group),India,Freely Chosen Employment,Vectra
Business Partner,20012065,Mantra Exports PVT LTD.,20012065 (Mantra Exports PVT LTD.),India,Freely Chosen Employment,Vectra
Facility,25791223,KNIT PLUS LIMITED (007454),20031219 (Knit Plus Limited),Bangladesh,Freely Chosen Employment,Vectra
Facility,25791279,Zaber & Zubair fabric ltd (007525),20033502 (Zaber & Zubair Fabrics Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,25793782,Noman Terry Towel Mills Ltd. (021830),10027583 (Noman Terry Towel Mills Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,25873905,FASHION KNIT INDUSTRIES Unit 1,10017548 (Fashion Knit Industries),Pakistan,Freely Chosen Employment,Vectra
Facility,25878074,MUSTAQIM DYEING & PRINTING MILL (PVT) LTD,20001261 (Mustaqim Dyeing & Printing Ind. Pvt),Pakistan,Freely Chosen Employment,Vectra
Facility,25879550,Knittex Garments Unit 1,30000009 (Knittex Garments),Pakistan,Freely Chosen Employment,Vectra
Facility,25884156,ISLAM KNIT DESIGNS LTD (007483),10025442 (Islam Knit Designs Ltd.),Bangladesh,Freely Chosen Employment,Vectra
Facility,25937921,Liberty Mills Limited Unit 2,60006635 (Liberty Mills Limited),Pakistan,Freely Chosen Employment,Vectra
Facility,25937945,VISHAL CARPET COMPANY (013961),20033361 (Vishal Carpet Company),India,Freely Chosen Employment,Vectra
Facility,26237507,SALMAN-ADNAN(PVT.)LTD (007520),20036750 (SALMAN-ADNAN (PVT.) LTD.),Bangladesh,Freely Chosen Employment,Vectra
Facility,51227893,J. R. Exports Pvt. Ltd. (025617),10042957 (J.R. Export Pvt. Ltd.),India,Freely Chosen Employment,Vectra
Facility,65191580,Ijaz Apparel,10046714 (IJAZ APPAREL (PVT) LTD.),Pakistan,Freely Chosen Employment,Vectra
Facility,85875488,Al Karam Towel Industries Unit 1,10073868 (Al Karam Towel Industries (Pvt) Ltd),Pakistan,Freely Chosen Employment,Vectra
Facility,86670079,Knittex Garments Unit 2,30000009 (Knittex Garments),Pakistan,Freely Chosen Employment,Vectra
Facility,90056167,J. R  Exports Pvt. Ltd. (100075),10042957 (J.R. Export Pvt. Ltd.),India,Freely Chosen Employment,Vectra
Business Partner,20012065,Mantra Exports PVT LTD.,20012065 (Mantra Exports PVT LTD.),India,Freely Chosen Employment,Vectra
Business Partner,20026169,Richi Lader,20026169 (Richi Lader),India,Freely Chosen Employment,Vectra
Facility,25788695,Ashwath Inc. (INHOUSE) (000279),20026224 (Ashwath Inc.),India,Freely Chosen Employment,Vectra
Facility,25791223,KNIT PLUS LIMITED (007454),20031219 (Knit Plus Limited),Bangladesh,Freely Chosen Employment,Vectra
Facility,25873815,"VIET DUC INTERNATIONAL INVESTMENT Co., Ltd. (019101)",20037542 (VIETSUN INT CORP.),Viet Nam,Freely Chosen Employment,Vectra
Facility,25876570,"VIET AN INT CO., LTD . (004242)",20037542 (VIETSUN INT CORP.),Viet Nam,Freely Chosen Employment,Vectra
Facility,81885122,VIETSUN PHU YEN - BRANH OF VIETSUN INT. CORP. (028261),20037542 (VIETSUN INT CORP.),Viet Nam,Freely Chosen Employment,Vectra
Facility,88685823,CHAU SON GARMENT COMPANY LTD (028629),10021186 (Chau Son Global Company Ltd.),Viet Nam,Freely Chosen Employment,Vectra
